<CHAPTER	NN	<CHAPTER
ID=1>	NNP	<unknown>
Resumption	NNP	Resumption
of	IN	of
the	DT	the
session	NN	session
<SPEAKER	NNP	<SPEAKER
ID=1	NNP	<unknown>
NAME="President">	NNP	<unknown>
I	PRP	i
declare	VBP	declare
resumed	VBN	resume
the	DT	the
session	NN	session
of	IN	of
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
adjourned	VBD	adjourn
on	IN	on
Friday	NNP	Friday
17	CD	@card@
December	NNP	December
1999	CD	@card@
,	,	,
and	CC	and
I	PRP	i
would	MD	would
like	VB	like
once	RB	once
again	RB	again
to	TO	to
wish	VB	wish
you	PRP	you
a	DT	a
happy	JJ	happy
new	JJ	new
year	NN	year
in	IN	in
the	DT	the
hope	NN	hope
that	IN	that
you	PRP	you
enjoyed	VBD	enjoy
a	DT	a
pleasant	JJ	pleasant
festive	JJ	festive
period	NN	period
.	.	.

<P>	NNP	<unknown>
Although	IN	although
,	,	,
as	IN	as
you	PRP	you
will	MD	will
have	VB	have
seen	VBN	see
,	,	,
the	DT	the
dreaded	JJ	dreaded
'	''	'
millennium	NN	millennium
bug	NN	bug
'	''	'
failed	VBD	fail
to	TO	to
materialise	VB	materialise
,	,	,
still	RB	still
the	DT	the
people	NNS	people
in	IN	in
a	DT	a
number	NN	number
of	IN	of
countries	NNS	country
suffered	VBD	suffer
a	DT	a
series	NN	series
of	IN	of
natural	JJ	natural
disasters	NNS	disaster
that	WDT	that
truly	RB	truly
were	VBD	be
dreadful	JJ	dreadful
.	.	.

You	PRP	you
have	VBP	have
requested	VBN	request
a	DT	a
debate	NN	debate
on	IN	on
this	DT	this
subject	NN	subject
in	IN	in
the	DT	the
course	NN	course
of	IN	of
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
,	,	,
during	IN	during
this	DT	this
part-session	NN	part-session
.	.	.

In	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
I	PRP	i
should	MD	should
like	VB	like
to	TO	to
observe	VB	observe
a	DT	a
minute	NN	minute
'	''	'
s	POS	s
silence	NN	silence
,	,	,
as	IN	as
a	DT	a
number	NN	number
of	IN	of
Members	NNS	member
have	VBP	have
requested	VBN	request
,	,	,
on	IN	on
behalf	NN	behalf
of	IN	of
all	PDT	all
the	DT	the
victims	NNS	victim
concerned	VBN	concern
,	,	,
particularly	RB	particularly
those	DT	those
of	IN	of
the	DT	the
terrible	JJ	terrible
storms	NNS	storm
,	,	,
in	IN	in
the	DT	the
various	JJ	various
countries	NNS	country
of	IN	of
the	DT	the
European	NNP	European
Union	NNP	Union
.	.	.

Please	VB	please
rise	VB	rise
,	,	,
then	RB	then
,	,	,
for	IN	for
this	DT	this
minute	NN	minute
'	''	'
s	POS	s
silence	NN	silence
.	.	.

<P>	FW	<unknown>
(	(	(
The	DT	the
House	NNP	House
rose	VBD	rise
and	CC	and
observed	VBD	observe
a	DT	a
minute	NN	minute
'	''	'
s	NNS	s
silence	NN	silence
)	)	)
<SPEAKER	NNP	<SPEAKER
ID=2	NNP	<unknown>
NAME="Evans	NNPS	<unknown>
,	,	,
Robert	NNP	Robert
J">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
on	IN	on
a	DT	a
point	NN	point
of	IN	of
order	NN	order
.	.	.

You	PRP	you
will	MD	will
be	VB	be
aware	JJ	aware
from	IN	from
the	DT	the
press	NN	press
and	CC	and
television	NN	television
that	IN	that
there	EX	there
have	VBP	have
been	VBN	be
a	DT	a
number	NN	number
of	IN	of
bomb	NN	bomb
explosions	NNS	explosion
and	CC	and
killings	NNS	killing
in	IN	in
Sri	NNP	Sri
Lanka	NNP	Lanka
.	.	.

One	CD	one
of	IN	of
the	DT	the
people	NNS	people
assassinated	VBD	assassinate
very	RB	very
recently	RB	recently
in	IN	in
Sri	NNP	Sri
Lanka	NNP	Lanka
was	VBD	be
Mr	NNP	Mr
Kumar	NNP	Kumar
Ponnambalam	NNP	Ponnambalam
,	,	,
who	WP	who
had	VBD	have
visited	VBN	visit
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
just	RB	just
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
.	.	.

Would	MD	would
it	PRP	it
be	VB	be
appropriate	JJ	appropriate
for	IN	for
you	PRP	you
,	,	,
Madam	NNP	Madam
President	NNP	President
,	,	,
to	TO	to
write	VB	write
a	DT	a
letter	NN	letter
to	TO	to
the	DT	the
Sri	NNP	Sri
Lankan	NNP	Lankan
President	NNP	President
expressing	VBG	express
Parliament	NNP	Parliament
's	POS	's
regret	NN	regret
at	IN	at
his	PRP$	his
and	CC	and
the	DT	the
other	JJ	other
violent	JJ	violent
deaths	NNS	death
in	IN	in
Sri	NNP	Sri
Lanka	NNP	Lanka
and	CC	and
urging	VBG	urge
her	PRP	her
to	TO	to
do	VB	do
everything	NN	everything
she	PRP	she
possibly	RB	possibly
can	MD	can
to	TO	to
seek	VB	seek
a	DT	a
peaceful	JJ	peaceful
reconciliation	NN	reconciliation
to	TO	to
a	DT	a
very	RB	very
difficult	JJ	difficult
situation	NN	situation
?	.	?

<SPEAKER	NN	<unknown>
ID=3	NNP	<unknown>
NAME="President">	NNP	<unknown>
Yes	UH	yes
,	,	,
Mr	NNP	Mr
Evans	NNP	Evans
,	,	,
I	PRP	i
feel	VBP	feel
an	DT	an
initiative	NN	initiative
of	IN	of
the	DT	the
type	NN	type
you	PRP	you
have	VBP	have
just	RB	just
suggested	VBN	suggest
would	MD	would
be	VB	be
entirely	RB	entirely
appropriate	JJ	appropriate
.	.	.

If	IN	if
the	DT	the
House	NNP	House
agrees	VBZ	agree
,	,	,
I	PRP	i
shall	MD	shall
do	VB	do
as	IN	as
Mr	NNP	Mr
Evans	NNP	Evans
has	VBZ	have
suggested	VBN	suggest
.	.	.

<SPEAKER	NN	<unknown>
ID=4	NNP	<unknown>
NAME="MacCormick">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
on	IN	on
a	DT	a
point	NN	point
of	IN	of
order	NN	order
.	.	.

I	PRP	i
would	MD	would
like	VB	like
your	PRP$	your
advice	NN	advice
about	IN	about
Rule	NNP	Rule
143	CD	143
concerning	VBG	concern
inadmissibility	NN	inadmissibility
.	.	.

My	PRP$	my
question	NN	question
relates	VBZ	relate
to	TO	to
something	NN	something
that	WDT	that
will	MD	will
come	VB	come
up	RP	up
on	IN	on
Thursday	NNP	Thursday
and	CC	and
which	WDT	which
I	PRP	i
will	MD	will
then	RB	then
raise	VB	raise
again	RB	again
.	.	.

<P>	NNP	<unknown>
The	DT	the
Cunha	NNP	Cunha
report	NN	report
on	IN	on
multiannual	JJ	multiannual
guidance	NN	guidance
programmes	NNS	programme
comes	VBZ	come
before	IN	before
Parliament	NNP	Parliament
on	IN	on
Thursday	NNP	Thursday
and	CC	and
contains	VBZ	contain
a	DT	a
proposal	NN	proposal
in	IN	in
paragraph	NN	paragraph
6	CD	@card@
that	IN	that
a	DT	a
form	NN	form
of	IN	of
quota	NN	quota
penalties	NNS	penalty
should	MD	should
be	VB	be
introduced	VBN	introduce
for	IN	for
countries	NNS	country
which	WDT	which
fail	VBP	fail
to	TO	to
meet	VB	meet
their	PRP$	<unknown>
fleet	NN	fleet
reduction	NN	reduction
targets	NNS	target
annually	RB	annually
.	.	.

It	PRP	it
says	VBZ	say
that	IN	that
this	DT	this
should	MD	should
be	VB	be
done	VBN	do
despite	IN	despite
the	DT	the
principle	NN	principle
of	IN	of
relative	JJ	relative
stability	NN	stability
.	.	.

I	PRP	i
believe	VBP	believe
that	IN	that
the	DT	the
principle	NN	principle
of	IN	of
relative	JJ	relative
stability	NN	stability
is	VBZ	be
a	DT	a
fundamental	JJ	fundamental
legal	JJ	legal
principle	NN	principle
of	IN	of
the	DT	the
common	JJ	common
fisheries	NNS	fishery
policy	NN	policy
and	CC	and
a	DT	a
proposal	NN	proposal
to	TO	to
subvert	VB	subvert
it	PRP	it
would	MD	would
be	VB	be
legally	RB	legally
inadmissible	JJ	inadmissible
.	.	.

I	PRP	i
want	VBP	want
to	TO	to
know	VB	know
whether	IN	whether
one	PRP	one
can	MD	can
raise	VB	raise
an	DT	an
objection	NN	objection
of	IN	of
that	DT	that
kind	NN	kind
to	TO	to
what	WP	what
is	VBZ	be
merely	RB	merely
a	DT	a
report	NN	report
,	,	,
not	RB	not
a	DT	a
legislative	JJ	legislative
proposal	NN	proposal
,	,	,
and	CC	and
whether	IN	whether
that	DT	that
is	VBZ	be
something	NN	something
I	PRP	i
can	MD	can
competently	RB	competently
do	VB	do
on	IN	on
Thursday	NNP	Thursday
.	.	.

<SPEAKER	NN	<unknown>
ID=5	NNP	<unknown>
NAME="President">	NNP	<unknown>
That	WDT	that
is	VBZ	be
precisely	RB	precisely
the	DT	the
time	NN	time
when	WRB	when
you	PRP	you
may	MD	may
,	,	,
if	IN	if
you	PRP	you
wish	VBP	wish
,	,	,
raise	VB	raise
this	DT	this
question	NN	question
,	,	,
i.e.	FW	i.e.
on	IN	on
Thursday	NNP	Thursday
prior	RB	prior
to	TO	to
the	DT	the
start	NN	start
of	IN	of
the	DT	the
presentation	NN	presentation
of	IN	of
the	DT	the
report	NN	report
.	.	.

<SPEAKER	NN	<unknown>
ID=6	NNP	<unknown>
LANGUAGE="IT	NNP	<unknown>
"	NNP	"
NAME="Segni">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
coinciding	VBG	coincide
with	IN	with
this	DT	this
year	NN	year
'	''	'
s	POS	s
first	JJ	first
part-session	NN	part-session
of	IN	of
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
,	,	,
a	DT	a
date	NN	date
has	VBZ	have
been	VBN	be
set	VBN	set
,	,	,
unfortunately	RB	unfortunately
for	IN	for
next	JJ	next
Thursday	NNP	Thursday
,	,	,
in	IN	in
Texas	NNP	Texas
in	IN	in
America	NNP	America
,	,	,
for	IN	for
the	DT	the
execution	NN	execution
of	IN	of
a	DT	a
young	JJ	young
34	CD	@card@
year-old	JJ	year-old
man	NN	man
who	WP	who
has	VBZ	have
been	VBN	be
sentenced	VBN	sentence
to	TO	to
death	NN	death
.	.	.

We	PRP	we
shall	MD	shall
call	VB	call
him	PRP	him
Mr	NNP	Mr
Hicks	NNP	Hicks
.	.	.

<P>	NNP	<unknown>
At	IN	at
the	DT	the
request	NN	request
of	IN	of
a	DT	a
French	NNP	French
Member	NNP	Member
,	,	,
Mr	NNP	Mr
Zimeray	NNP	Zimeray
,	,	,
a	DT	a
petition	NN	petition
has	VBZ	have
already	RB	already
been	VBN	be
presented	VBN	present
,	,	,
which	WDT	which
many	JJ	many
people	NNS	people
signed	VBD	sign
,	,	,
including	VBG	include
myself	PRP	myself
.	.	.

However	RB	however
,	,	,
I	PRP	i
would	MD	would
ask	VB	ask
you	PRP	you
,	,	,
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
line	NN	line
which	WDT	which
is	VBZ	be
now	RB	now
constantly	RB	constantly
followed	VBN	follow
by	IN	by
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
and	CC	and
by	IN	by
the	DT	the
whole	NN	whole
of	IN	of
the	DT	the
European	NNP	European
Community	NNP	Community
,	,	,
to	TO	to
make	VB	make
representations	NNS	representation
,	,	,
using	VBG	use
the	DT	the
weight	NN	weight
of	IN	of
your	PRP$	your
prestigious	JJ	prestigious
office	NN	office
and	CC	and
the	DT	the
institution	NN	institution
you	PRP	you
represent	VBP	represent
,	,	,
to	TO	to
the	DT	the
President	NNP	President
and	CC	and
to	TO	to
the	DT	the
Governor	NNP	Governor
of	IN	of
Texas	NNP	Texas
,	,	,
Mr	NNP	Mr
Bush	NNP	Bush
,	,	,
who	WP	who
has	VBZ	have
the	DT	the
power	NN	power
to	TO	to
order	VB	order
a	DT	a
stay	NN	stay
of	IN	of
execution	NN	execution
and	CC	and
to	TO	to
reprieve	VB	reprieve
the	DT	the
condemned	VBN	condemn
person	NN	person
.	.	.

<P>	VBZ	<unknown>
This	DT	this
is	VBZ	be
all	DT	all
in	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
principles	NNS	principle
that	IN	that
we	PRP	we
have	VBP	have
always	RB	always
upheld	VBN	uphold
.	.	.

<SPEAKER	NN	<unknown>
ID=7	NNP	<unknown>
NAME="President">	NNP	<unknown>
Thank	VB	thank
you	PRP	you
,	,	,
Mr	NNP	Mr
Segni	NNP	Segni
,	,	,
I	PRP	i
shall	MD	shall
do	VB	do
so	RB	so
gladly	RB	gladly
.	.	.

Indeed	RB	indeed
,	,	,
it	PRP	it
is	VBZ	be
quite	RB	quite
in	IN	in
keeping	VBG	keep
with	IN	with
the	DT	the
positions	NNS	position
this	DT	this
House	NNP	House
has	VBZ	have
always	RB	always
adopted	VBN	adopt
.	.	.

<SPEAKER	NN	<unknown>
ID=8	NNP	<unknown>
LANGUAGE="DE	NNP	<unknown>
"	NNP	"
NAME="Schroedter">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
I	PRP	i
should	MD	should
like	VB	like
to	TO	to
draw	VB	draw
your	PRP$	your
attention	NN	attention
to	TO	to
a	DT	a
case	NN	case
in	IN	in
which	WDT	which
this	DT	this
Parliament	NNP	Parliament
has	VBZ	have
consistently	RB	consistently
shown	VBN	show
an	DT	an
interest	NN	interest
.	.	.

It	PRP	it
is	VBZ	be
the	DT	the
case	NN	case
of	IN	of
Alexander	NNP	Alexander
Nikitin	NNP	Nikitin
.	.	.

All	DT	all
of	IN	of
us	PRP	us
here	RB	here
are	VBP	be
pleased	VBN	please
that	IN	that
the	DT	the
courts	NNS	court
have	VBP	have
acquitted	VBN	acquit
him	PRP	him
and	CC	and
made	VBD	make
it	PRP	it
clear	JJ	clear
that	IN	that
in	IN	in
Russia	NNP	Russia
,	,	,
too	RB	too
,	,	,
access	NN	access
to	TO	to
environmental	JJ	environmental
information	NN	information
is	VBZ	be
a	DT	a
constitutional	JJ	constitutional
right	NN	right
.	.	.

Now	RB	now
,	,	,
however	RB	however
,	,	,
he	PRP	he
is	VBZ	be
to	TO	to
go	VB	go
before	IN	before
the	DT	the
courts	NNS	court
once	RB	once
more	RBR	more
because	IN	because
the	DT	the
public	JJ	public
prosecutor	NN	prosecutor
is	VBZ	be
appealing	VBG	appeal
.	.	.

We	PRP	we
know	VBP	know
,	,	,
and	CC	and
we	PRP	we
have	VBP	have
stated	VBN	state
as	IN	as
much	RB	much
in	IN	in
very	RB	very
many	JJ	many
resolutions	NNS	resolution
indeed	RB	indeed
,	,	,
including	VBG	include
specifically	RB	specifically
during	IN	during
the	DT	the
last	JJ	last
plenary	JJ	plenary
part-session	NN	part-session
of	IN	of
last	JJ	last
year	NN	year
,	,	,
that	IN	that
this	DT	this
is	VBZ	be
not	RB	not
solely	RB	solely
a	DT	a
legal	JJ	legal
case	NN	case
and	CC	and
that	IN	that
it	PRP	it
is	VBZ	be
wrong	JJ	wrong
for	IN	for
Alexander	NNP	Alexander
Nikitin	NNP	Nikitin
to	TO	to
be	VB	be
accused	VBN	accuse
of	IN	of
criminal	JJ	criminal
activity	NN	activity
and	CC	and
treason	NN	treason
because	IN	because
of	IN	of
our	PRP$	our
involvement	NN	involvement
as	IN	as
the	DT	the
beneficiaries	NNS	beneficiary
of	IN	of
his	PRP$	his
findings	NNS	finding
.	.	.

These	DT	these
findings	NNS	finding
