<CHAPTER	NNP	<CHAPTER
ID=1>	NNP	<unknown>
Approval	NNP	Approval
of	IN	of
the	DT	the
Minutes	NNPS	Minutes
of	IN	of
the	DT	the
two	CD	two
previous	JJ	previous
sittings	NNS	sitting
<SPEAKER	NNP	<SPEAKER
ID=1	NNP	<unknown>
NAME="President">	NNP	<unknown>
The	DT	the
Minutes	NNPS	Minutes
of	IN	of
the	DT	the
sittings	NNS	sitting
of	IN	of
Thursday	NNP	Thursday
3	CD	@card@
February	NNP	February
and	CC	and
Monday	NNP	Monday
14	CD	@card@
February	NNP	February
have	VBP	have
been	VBN	be
distributed	VBN	distribute
.	.	.

The	DT	the
Minutes	NNPS	Minutes
of	IN	of
3	CD	@card@
February	NNP	February
were	VBD	be
originally	RB	originally
distributed	VBN	distribute
in	IN	in
Brussels	NNP	Brussels
so	RB	so
perhaps	RB	perhaps
this	DT	this
is	VBZ	be
why	WRB	why
some	DT	some
Members	NNS	member
did	VBD	do
not	RB	not
receive	VB	receive
them	PRP	them
.	.	.

<P>	FW	<unknown>
Are	VBP	be
there	EX	there
any	DT	any
comments	NNS	comment
?	.	?

<P>	NNP	<unknown>
(	(	(
The	DT	the
Minutes	NNPS	Minutes
were	VBD	be
approved	VBN	approve
)	)	)
<P>	NNP	<unknown>
<SPEAKER	NNP	<SPEAKER
ID=2	NNP	<unknown>
LANGUAGE="ES	NNP	<unknown>
"	NNP	"
NAME="Medina	NNP	<unknown>
Ortega">	NNP	<unknown>
Madam	NNP	Madam
President	NNP	President
,	,	,
my	PRP$	my
habit	NN	habit
is	VBZ	be
always	RB	always
to	TO	to
be	VB	be
here	RB	here
for	IN	for
the	DT	the
opening	NN	opening
of	IN	of
the	DT	the
part-session	NN	part-session
on	IN	on
Monday	NNP	Monday
afternoons	NNS	afternoon
at	IN	at
5.00	CD	5.00
p.m.	RB	p.m.
Yesterday	NN	yesterday
it	PRP	it
was	VBD	be
impossible	JJ	impossible
for	IN	for
myself	PRP	myself
and	CC	and
many	JJ	many
MEPs	NNS	MEP
to	TO	to
be	VB	be
here	RB	here
,	,	,
because	IN	because
the	DT	the
2.15	CD	2.15
p.m.	NN	p.m.
Air	NNP	Air
France	NNP	France
flight	NN	flight
,	,	,
which	WDT	which
normally	RB	normally
brings	VBZ	bring
us	PRP	us
here	RB	here
,	,	,
was	VBD	be
cancelled	VBN	cancel
,	,	,
with	IN	with
no	DT	no
explanation	NN	explanation
from	IN	from
the	DT	the
airline	NN	airline
,	,	,
and	CC	and
we	PRP	we
therefore	RB	therefore
arrived	VBD	arrive
very	RB	very
late	RB	late
.	.	.

If	IN	if
Air	NNP	Air
France	NNP	France
insists	VBZ	insist
on	IN	on
boycotting	VBG	boycott
the	DT	the
European	NNP	European
Parliament	NNP	Parliament
,	,	,
we	PRP	we
should	MD	should
take	VB	take
measures	NNS	measure
to	TO	to
prevent	VB	prevent
this	DT	this
occurring	VBG	occur
again	RB	again
.	.	.

<P>	NNP	<unknown>
<SPEAKER	NNP	<SPEAKER
ID=3	NNP	<unknown>
NAME="President">	NNP	<unknown>
Thank	VB	thank
you	PRP	you
,	,	,
Mr	NNP	Mr
Medina	NNP	Medina
Ortega	NNP	Ortega
.	.	.

I	PRP	i
too	RB	too
wholeheartedly	RB	wholeheartedly
regret	VBP	regret
this	DT	this
situation	NN	situation
.	.	.

Would	MD	would
you	PRP	you
be	VB	be
so	RB	so
kind	JJ	kind
as	IN	as
to	TO	to
write	VB	write
to	TO	to
me	PRP	me
so	IN	so
that	IN	that
I	PRP	i
have	VBP	have
proof	NN	proof
with	IN	with
which	WDT	which
to	TO	to
tackle	VB	tackle
the	DT	the
competent	JJ	competent
authorities	NNS	authority
of	IN	of
both	DT	both
Air	NNP	Air
France	NNP	France
and	CC	and
the	DT	the
French	NNP	French
Government	NNP	Government
?	.	?

This	DT	this
situation	NN	situation
really	RB	really
cannot	VBD	cannet
continue	VB	continue
and	CC	and
we	PRP	we
must	MD	must
therefore	RB	therefore
protest	VB	protest
most	RBS	most
strongly	RB	strongly
.	.	.

<SPEAKER	NN	<unknown>
