<CHAPTER	NN	<CHAPTER
ID=1>	NNP	<unknown>
Adoption	NNP	Adoption
of	IN	of
the	DT	the
Minutes	NNPS	Minutes
of	IN	of
the	DT	the
previous	JJ	previous
sitting	VBG	sit
<SPEAKER	NNP	<SPEAKER
ID=1	NNP	<unknown>
NAME="President">	NNP	<unknown>
The	DT	the
Minutes	NNPS	Minutes
of	IN	of
yesterday	NN	yesterday
'	''	'
s	NNS	s
sitting	NN	sitting
have	VBP	have
been	VBN	be
distributed	VBN	distribute
.	.	.

<P>	FW	<unknown>
Are	VBP	be
there	EX	there
any	DT	any
comments	NNS	comment
?	.	?

<SPEAKER	NN	<unknown>
ID=2	NNP	<unknown>
NAME="Stevenson">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
I	PRP	i
see	VBP	see
in	IN	in
the	DT	the
Minutes	NNPS	Minutes
that	IN	that
two	CD	two
Members	NNS	member
spoke	VBD	speak
yesterday	NN	yesterday
about	IN	about
delayed	VBN	delay
flights	NNS	flight
to	TO	to
Strasbourg	NNP	Strasbourg
on	IN	on
Monday	NNP	Monday
.	.	.

I	PRP	i
would	MD	would
like	VB	like
to	TO	to
add	VB	add
that	IN	that
the	DT	the
flight	NN	flight
from	IN	from
Amsterdam	NNP	Amsterdam
'	''	'
s	POS	s
Schipol	NNP	Schipol
airport	NN	airport
was	VBD	be
also	RB	also
delayed	VBN	delay
and	CC	and
then	RB	then
cancelled	VBN	cancel
.	.	.

We	PRP	we
were	VBD	be
diverted	VBN	divert
to	TO	to
Basel-Mulhouse	NNP	Basel-Mulhouse
Airport	NNP	Airport
.	.	.

We	PRP	we
were	VBD	be
told	VBN	tell
that	IN	that
a	DT	a
bus	NN	bus
would	MD	would
meet	VB	meet
us	PRP	us
there	RB	there
on	IN	on
arrival	NN	arrival
.	.	.

In	IN	in
fact	NN	fact
,	,	,
it	PRP	it
took	VBD	take
45	CD	@card@
minutes	NNS	minute
after	IN	after
we	PRP	we
arrived	VBD	arrive
before	IN	before
the	DT	the
bus	NN	bus
appeared	VBD	appear
at	IN	at
the	DT	the
airport	NN	airport
.	.	.

We	PRP	we
finally	RB	finally
got	VBD	get
here	RB	here
,	,	,
on	IN	on
Monday	NNP	Monday
at	IN	at
8.30	CD	8.30
p.m.	RB	p.m.
,	,	,
after	IN	after
some	DT	some
of	IN	of
us	PRP	us
had	VBD	have
spent	VBN	spend
more	JJR	more
than	IN	than
12	CD	@card@
hours	NNS	hour
travelling	VBG	travel
.	.	.

<P>	RB	<unknown>
This	DT	this
sort	NN	sort
of	IN	of
service	NN	service
and	CC	and
difficulty	NN	difficulty
in	IN	in
getting	VBG	get
to	TO	to
Strasbourg	NNP	Strasbourg
on	IN	on
a	DT	a
Monday	NNP	Monday
is	VBZ	be
quite	RB	quite
hopeless	JJ	hopeless
.	.	.

If	IN	if
the	DT	the
French	NNP	French
Government	NNP	Government
insists	VBZ	insist
that	IN	that
we	PRP	we
continue	VBP	continue
to	TO	to
meet	VB	meet
in	IN	in
Strasbourg	NNP	Strasbourg
,	,	,
it	PRP	it
could	MD	could
at	IN	at
least	JJS	least
ensure	VB	ensure
,	,	,
where	WRB	where
flights	NNS	flight
are	VBP	be
diverted	VBN	divert
to	TO	to
Basle	NNP	Basle
,	,	,
that	IN	that
buses	NNS	bus
arrive	VBP	arrive
on	IN	on
time	NN	time
to	TO	to
meet	VB	meet
the	DT	the
diverted	VBN	divert
passengers	NNS	passenger
,	,	,
otherwise	RB	otherwise
it	PRP	it
is	VBZ	be
quite	RB	quite
pointless	JJ	pointless
for	IN	for
us	PRP	us
to	TO	to
try	VB	try
to	TO	to
arrive	VB	arrive
here	RB	here
on	IN	on
Monday	NNP	Monday
and	CC	and
attend	VB	attend
to	TO	to
any	DT	any
kind	NN	kind
of	IN	of
business	NN	business
.	.	.

I	PRP	i
wonder	VBP	wonder
if	IN	if
that	DT	that
could	MD	could
be	VB	be
added	VBN	add
to	TO	to
the	DT	the
Minutes	NNPS	Minutes
.	.	.

<P>	NNP	<unknown>
<SPEAKER	NNP	<SPEAKER
ID=3	NNP	<unknown>
LANGUAGE="NL	NNP	<unknown>
"	NNP	"
NAME="Peijs">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
I	PRP	i
was	VBD	be
booked	VBN	book
on	IN	on
the	DT	the
same	JJ	same
flight	NN	flight
and	CC	and
I	PRP	i
am	VBP	be
rather	RB	rather
embarrassed	VBN	embarrass
to	TO	to
admit	VB	admit
that	IN	that
the	DT	the
airline	NN	airline
was	VBD	be
KLM	NNP	KLM
,	,	,
our	PRP$	our
national	JJ	national
airline	NN	airline
company	NN	company
.	.	.

I	PRP	i
hope	VBP	hope
that	DT	that
next	JJ	next
time	NN	time
,	,	,
also	RB	also
if	IN	if
any	DT	any
other	JJ	other
airline	NN	airline
company	NN	company
is	VBZ	be
involved	VBN	involve
,	,	,
things	NNS	thing
will	MD	will
run	VB	run
more	RBR	more
smoothly	RB	smoothly
.	.	.

<P>	NNP	<unknown>
(	(	(
The	DT	the
Minutes	NNPS	Minutes
were	VBD	be
approved	VBN	approve
)	)	)
<P>	NNP	<unknown>
<SPEAKER	NNP	<SPEAKER
ID=4	NNP	<unknown>
LANGUAGE="DE	NNP	<unknown>
"	NNP	"
NAME="Swoboda">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
I	PRP	i
would	MD	would
just	RB	just
like	VB	like
to	TO	to
draw	VB	draw
your	PRP$	your
attention	NN	attention
to	TO	to
something	NN	something
that	WDT	that
concerns	VBZ	concern
today	NN	today
'	''	'
s	POS	s
agenda	NN	agenda
.	.	.

We	PRP	we
decided	VBD	decide
on	IN	on
Monday	NNP	Monday
that	IN	that
the	DT	the
Council	NNP	Council
'	''	'
s	POS	s
statement	NN	statement
on	IN	on
the	DT	the
Fiftieth	NNP	Fiftieth
Anniversary	NNP	Anniversary
of	IN	of
the	DT	the
Geneva	NNP	Geneva
Convention	NNP	Convention
was	VBD	be
to	TO	to
be	VB	be
postponed	VBN	postpone
.	.	.

I	PRP	i
would	MD	would
just	RB	just
like	VB	like
to	TO	to
clarify	VB	clarify
that	IN	that
we	PRP	we
will	MD	will
only	RB	only
be	VB	be
talking	VBG	talk
about	IN	about
the	DT	the
other	JJ	other
items	NNS	item
on	IN	on
this	DT	this
agenda	NN	agenda
today	NN	today
,	,	,
and	CC	and
not	RB	not
about	IN	about
the	DT	the
Geneva	NNP	Geneva
Convention	NNP	Convention
.	.	.

This	DT	this
item	NN	item
has	VBZ	have
been	VBN	be
postponed	VBN	postpone
until	IN	until
the	DT	the
next	JJ	next
part-session	NN	part-session
in	IN	in
March	NNP	March
.	.	.

It	PRP	it
was	VBD	be
erroneously	RB	erroneously
included	VBN	include
in	IN	in
today	NN	today
'	''	'
s	POS	s
agenda	NN	agenda
.	.	.

<SPEAKER	NN	<unknown>
ID=5	NNP	<unknown>
NAME="President">	NNP	<unknown>
Mr	NNP	Mr
Swoboda	NNP	Swoboda
,	,	,
I	PRP	i
can	MD	can
confirm	VB	confirm
what	WP	what
you	PRP	you
have	VBP	have
just	RB	just
said	VBD	say
and	CC	and
there	EX	there
is	VBZ	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
a	DT	a
printing	NN	printing
error	NN	error
.	.	.

The	DT	the
document	NN	document
that	WDT	that
has	VBZ	have
been	VBN	be
distributed	VBN	distribute
contains	VBZ	contain
inaccuracies	NNS	inaccuracy
,	,	,
because	IN	because
the	DT	the
decision	NN	decision
has	VBZ	have
been	VBN	be
taken	VBN	take
to	TO	to
postpone	VB	postpone
the	DT	the
debate	NN	debate
.	.	.

<P>	NNP	<unknown>
<SPEAKER	NNP	<SPEAKER
ID=6	NNP	<unknown>
NAME="Taylor">	NNP	<unknown>
Mr	NNP	Mr
President	NNP	President
,	,	,
I	PRP	i
just	RB	just
want	VBP	want
to	TO	to
say	VB	say
that	DT	that
,	,	,
as	IN	as
I	PRP	i
was	VBD	be
walking	VBG	walk
in	IN	in
this	DT	this
morning	NN	morning
,	,	,
I	PRP	i
noticed	VBD	notice
two	CD	two
people	NNS	people
smoking	VBG	smoke
outside	IN	outside
the	DT	the
Hemicycle	NNP	Hemicycle
.	.	.

The	DT	the
smell	NN	smell
is	VBZ	be
absolutely	RB	absolutely
disgusting	JJ	disgusting
!	.	!

Can	MD	can
you	PRP	you
please	VB	please
do	VB	do
something	NN	something
about	IN	about
it	PRP	it
?	.	?

<SPEAKER	NN	<unknown>
ID=7	NNP	<unknown>
NAME="President">	NNP	<unknown>
I	PRP	i
cannot	VBP	cannot
do	VB	do
anything	NN	anything
about	IN	about
it	PRP	it
myself	PRP	myself
,	,	,
but	CC	but
you	PRP	you
are	VBP	be
quite	RB	quite
right	JJ	right
.	.	.

We	PRP	we
need	VBP	need
a	DT	a
quick	JJ	quick
way	NN	way
of	IN	of
educating	VBG	educate
people	NNS	people
,	,	,
including	VBG	include
those	DT	those
who	WP	who
do	VBP	do
not	RB	not
obey	VB	obey
the	DT	the
rules	NNS	rule
decided	VBD	decide
upon	IN	upon
in	IN	in
this	DT	this
House	NNP	House
.	.	.

<P>	NNP	<unknown>
Regarding	VBG	regard
the	DT	the
problems	NNS	problem
caused	VBN	cause
by	IN	by
air	NN	air
travel	NN	travel
delays	NNS	delay
,	,	,
perhaps	RB	perhaps
everybody	NN	everybody
who	WP	who
has	VBZ	have
had	VBN	have
difficulty	NN	difficulty
reaching	VBG	reach
Strasbourg	NNP	Strasbourg
for	IN	for
the	DT	the
present	JJ	present
part-session	NN	part-session
should	MD	should
form	VB	form
a	DT	a
small	JJ	small
group	NN	group
-	:	-
although	IN	although
I	PRP	i
am	VBP	be
not	RB	not
sure	JJ	sure
that	IN	that
it	PRP	it
will	MD	will
be	VB	be
small	JJ	small
-	:	-
to	TO	to
discuss	VB	discuss
the	DT	the
precise	JJ	precise
nature	NN	nature
of	IN	of
the	DT	the
problems	NNS	problem
encountered	VBN	encounter
.	.	.

<CHAPTER	NNP	<CHAPTER
